# Newsky Schedule Export
# Airline: VVX - VOLAR VIRTUAL AIRLINES
# Date: 2026-07-16 19:22z
#
# <- use hash to add comments.
# Remember to respect headers and proper CSV formatting!
# Empty airframes column with result in ALL available
#
# Start of CSV data:
number,dep,arr,type,duration,mon,tue,wed,thu,fri,sat,sun,airframes,active
1057,SBBV,SBBR,pax,199,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1058,SBBV,SBEG,pax,60,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1059,SBBV,SBGR,pax,265,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1060,SBCA,SBGR,pax,85,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1061,SBCA,SBMO,pax,198,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1062,SBCF,SBAR,pax,99,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1063,SBCF,SBBE,pax,162,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1064,SBCF,SBBR,pax,65,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1065,SBCF,SBCJ,pax,134,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1066,SBCF,SBEG,pax,205,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1067,SBCF,SBFI,pax,113,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1068,SBCF,SBFL,pax,90,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1069,SBCF,SBFZ,pax,155,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1070,SBCF,SBGL,pax,43,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1071,SBCF,SBGO,pax,67,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1072,SBCF,SBGR,pax,65,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1073,SBCF,SBJE,pax,154,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1074,SBCF,SBJP,pax,137,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1075,SBCF,SBKP,pax,57,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1076,SBCF,SBMA,pax,142,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1077,SBCF,SBMO,pax,115,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1078,SBCF,SBPA,pax,120,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1079,SBCF,SBPJ,pax,101,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1080,SBCF,SBPS,pax,70,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1081,SBCF,SBPV,pax,189,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1082,SBCF,SBRB,pax,206,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1083,SBCF,SBRF,pax,130,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1084,SBCF,SBRJ,pax,48,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1085,SBCF,SBSG,pax,144,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1086,SBCF,SBSL,pax,149,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1087,SBCF,SBSP,pax,65,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1088,SBCF,SBSV,pax,82,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1089,SBCF,SBTC,pax,67,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1090,SBCF,SBTE,pax,129,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1091,SBCF,SBUL,pax,46,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1092,SBCG,SBBR,pax,80,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1093,SBCG,SBGR,pax,95,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1094,SBCG,SBKP,pax,70,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1095,SBCG,SBSP,pax,85,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1096,SBCH,SBFL,pax,44,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1097,SBCH,SBGR,pax,85,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1098,SBCH,SBKP,pax,62,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1099,SBCJ,SBBE,pax,52,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1100,SBCJ,SBCF,pax,135,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1101,SBCJ,SBSL,pax,67,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1102,SBCN,SBGR,pax,85,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1103,SBCN,SBSP,pax,63,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1104,SBCT,SBBR,pax,100,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1105,SBCT,SBFI,pax,65,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1106,SBCT,SBGL,pax,75,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1107,SBCT,SBGR,pax,60,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1108,SBCT,SBMO,pax,178,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1109,SBCT,SBPA,pax,55,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1110,SBCT,SBSP,pax,45,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1111,SBCT,SBSV,pax,145,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1112,SBCX,SBGR,pax,90,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1113,SBCX,SBKP,pax,74,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1114,SBCX,SBSP,pax,78,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1115,SBCY,SBBR,pax,85,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1116,SBCY,SBGL,pax,133,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1117,SBCY,SBGO,pax,71,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1118,SBCY,SBGR,pax,130,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1119,SBCY,SBKP,pax,106,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1120,SBCY,SBPV,pax,99,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1121,SBCY,SBSP,pax,115,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1122,SBCY,SBSV,pax,153,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1123,SBCY,SBUL,pax,80,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1124,SBCZ,SBRB,pax,58,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1125,SBDB,SBGR,pax,100,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1126,SBDB,SBSP,pax,86,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1127,SBDN,SBJP,pax,178,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1128,SBDN,SBMO,pax,162,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1129,SBDN,SBPS,pax,118,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1130,SBDN,SBRF,pax,188,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1131,SBDN,SBSG,pax,180,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1132,SBDN,SBSP,pax,54,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1133,SBDO,SBGR,pax,95,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1134,SBEG,SBBE,pax,110,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1135,SBEG,SBBR,pax,155,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1136,SBEG,SBBV,pax,67,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1137,SBEG,SBCF,pax,196,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1138,SBEG,SBFZ,pax,200,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1139,SBEG,SBGL,pax,225,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1140,SBEG,SBGR,pax,230,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1141,SBEG,SBKP,pax,190,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1142,SBEG,SBPV,pax,74,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1143,SBEG,SBRB,pax,99,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1144,SBEG,SBSN,pax,60,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1145,SBFI,SBCF,pax,103,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1146,SBFI,SBCT,pax,60,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1147,SBFI,SBFZ,pax,232,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1148,SBFI,SBGL,pax,98,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1149,SBFI,SBGR,pax,90,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1150,SBFI,SBKP,pax,74,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1151,SBFI,SBPA,pax,54,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1152,SBFI,SBRF,pax,224,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1153,SBFI,SBSP,pax,85,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1154,SBFL,SBBR,pax,115,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1155,SBFL,SBCF,pax,86,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1156,SBFL,SBCH,pax,50,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1157,SBFL,SBGL,pax,70,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1158,SBFL,SBGR,pax,75,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1159,SBFL,SBKP,pax,59,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1160,SBFL,SBPA,pax,50,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1161,SBFL,SBPS,pax,128,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1162,SBFL,SBSP,pax,55,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1163,SBFN,SBGR,pax,216,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1164,SBFN,SBRF,pax,53,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1165,SBFZ,SBBE,pax,99,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1166,SBFZ,SBBR,pax,140,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1167,SBFZ,SBCF,pax,160,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1168,SBFZ,SBEG,pax,190,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1169,SBFZ,SBFI,pax,240,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1170,SBFZ,SBGL,pax,180,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1171,SBFZ,SBGR,pax,200,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1172,SBFZ,SBJU,pax,45,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1173,SBFZ,SBPB,pax,45,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1174,SBFZ,SBRF,pax,65,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1175,SBFZ,SBSG,pax,45,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1176,SBFZ,SBSL,pax,60,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1177,SBFZ,SBSP,pax,205,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1178,SBFZ,SBSV,pax,90,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1179,SBFZ,SBTE,pax,55,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1180,SBGL,SBAR,pax,124,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1181,SBGL,SBBE,pax,199,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1182,SBGL,SBBR,pax,90,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1183,SBGL,SBCF,pax,45,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1184,SBGL,SBCT,pax,80,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1185,SBGL,SBCY,pax,145,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1186,SBGL,SBEG,pax,230,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1187,SBGL,SBFI,pax,114,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1188,SBGL,SBFL,pax,75,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1189,SBGL,SBFZ,pax,175,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1190,SBGL,SBGO,pax,95,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1191,SBGL,SBGR,pax,55,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1192,SBGL,SBKP,pax,47,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1193,SBGL,SBMO,pax,142,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1194,SBGL,SBNF,pax,74,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1195,SBGL,SBPA,pax,115,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1196,SBGL,SBPS,pax,80,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1197,SBGL,SBRF,pax,144,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1198,SBGL,SBSG,pax,168,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1199,SBGL,SBSJ,pax,35,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1200,SBGL,SBSL,pax,180,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1201,SBGL,SBSP,pax,51,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1202,SBGL,SBSV,pax,110,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1203,SBGL,SBUL,pax,72,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1204,SBGL,SBVT,pax,50,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1205,SBGO,SBBR,pax,25,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1206,SBGO,SBCF,pax,63,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1207,SBGO,SBCY,pax,77,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1208,SBGO,SBGL,pax,89,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1209,SBGO,SBGR,pax,90,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1210,SBGO,SBKP,pax,74,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1211,SBGO,SBMO,pax,134,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1212,SBGO,SBPS,pax,98,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1213,SBGO,SBRF,pax,148,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1214,SBGO,SBSP,pax,80,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1215,SBGO,SBSV,pax,106,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1216,SBGR,SBAR,pax,135,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1217,SBGR,SBBE,pax,205,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1218,SBGR,SBBR,pax,80,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1219,SBGR,SBBV,pax,260,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1220,SBGR,SBCA,pax,80,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1221,SBGR,SBCF,pax,55,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1222,SBGR,SBCG,pax,95,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1223,SBGR,SBCH,pax,80,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1224,SBGR,SBCN,pax,70,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1225,SBGR,SBCT,pax,50,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1226,SBGR,SBCX,pax,90,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1227,SBGR,SBCY,pax,120,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1228,SBGR,SBDB,pax,110,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1229,SBGR,SBDO,pax,90,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1230,SBGR,SBEG,pax,220,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1231,SBGR,SBFI,pax,90,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1232,SBGR,SBFL,pax,65,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1233,SBGR,SBFN,pax,206,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1234,SBGR,SBFZ,pax,185,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1235,SBGR,SBGL,pax,40,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1236,SBGR,SBGO,pax,75,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1237,SBGR,SBIL,pax,105,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1238,SBGR,SBIZ,pax,170,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1239,SBGR,SBJA,pax,70,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1240,SBGR,SBJE,pax,185,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1241,SBGR,SBJU,pax,155,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1242,SBGR,SBJV,pax,50,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1243,SBGR,SBLO,pax,60,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1244,SBGR,SBMG,pax,65,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1245,SBGR,SBMK,pax,70,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1246,SBGR,SBMO,pax,155,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1247,SBGR,SBMQ,pax,220,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1248,SBGR,SBNF,pax,60,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1249,SBGR,SBPA,pax,90,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1250,SBGR,SBPF,pax,85,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1251,SBGR,SBPJ,pax,130,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1252,SBGR,SBPL,pax,140,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1253,SBGR,SBPS,pax,95,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1254,SBGR,SBRB,pax,220,true,true,true,true,true,true,true,"A320,A20N,B738,B38M",true
1255,SBGR,SBRF,pax,165,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1256,SBGR,SBRJ,pax,41,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1257,SBGR,SBRP,pax,45,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1258,SBGR,SBSG,pax,180,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1259,SBGR,SBSI,pax,155,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1260,SBGR,SBSL,pax,195,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1261,SBGR,SBSR,pax,50,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
1262,SBGR,SBSV,pax,120,true,true,true,true,true,true,true,"A320,A20N,B738,B38M,E195",true
